"Mês/Ano";"UF";"Município";"Zona";"Quantidade";"%";
"";"SP";"CRUZÁLIA";"363";"2.219";"0,007"
"";"SP";"CRUZEIRO";"42";"59.147";"0,185"
"";"SP";"CUBATÃO";"119";"95.203";"0,298"
"";"SP";"CUNHA";"43";"19.406";"0,061"
"";"SP";"DESCALVADO";"44";"25.216";"0,079"
"";"SP";"DIADEMA";"222";"84.016";"0,263"
"";"SP";"DIADEMA";"329";"159.394";"0,498"
"";"SP";"DIADEMA";"426";"81.537";"0,255"
"";"SP";"DIRCE REIS";"152";"1.600";"0,005"
"";"SP";"DIVINOLÂNDIA";"366";"10.206";"0,032"
"";"SP";"DOBRADA";"170";"5.571";"0,017"
"";"SP";"DOIS CÓRREGOS";"45";"18.994";"0,059"
"";"SP";"DOLCINÓPOLIS";"233";"2.243";"0,007"
"";"SP";"DOURADO";"107";"7.414";"0,023"
"";"SP";"DRACENA";"149";"33.858";"0,106"
"";"SP";"DUARTINA";"159";"10.066";"0,031"
"";"SP";"DUMONT";"109";"6.509";"0,020"
"";"SP";"ECHAPORÃ";"290";"5.319";"0,017"
"";"SP";"ELDORADO";"148";"11.808";"0,037"
"";"SP";"ELIAS FAUSTO";"358";"13.286";"0,042"
"";"SP";"ELISIÁRIO";"40";"2.719";"0,008"
"";"SP";"EMBAÚBA";"80";"2.449";"0,008"
"";"SP";"EMBU DAS ARTES";"341";"75.537";"0,236"
"";"SP";"EMBU DAS ARTES";"391";"74.126";"0,232"
"";"SP";"EMBU-GUAÇU";"370";"50.973";"0,159"
"";"SP";"EMILIANÓPOLIS";"165";"2.597";"0,008"
"";"SP";"ENGENHEIRO COELHO";"75";"12.484";"0,039"
"";"SP";"ESPÍRITO SANTO DO PINHAL";"91";"34.031";"0,106"
"";"SP";"ESPÍRITO SANTO DO TURVO";"114";"3.443";"0,011"
"";"SP";"ESTIVA GERBI";"216";"8.153";"0,025"
"";"SP";"ESTRELA DO NORTE";"261";"2.558";"0,008"
"";"SP";"ESTRELA D'OESTE";"233";"6.949";"0,022"
"";"SP";"EUCLIDES DA CUNHA PAULISTA";"330";"7.794";"0,024"
"";"SP";"FARTURA";"234";"12.848";"0,040"
"";"SP";"FERNANDO PRESTES";"139";"4.884";"0,015"
"";"SP";"FERNANDÓPOLIS";"150";"50.996";"0,159"
"";"SP";"FERNÃO";"47";"1.579";"0,005"
"";"SP";"FERRAZ DE VASCONCELOS";"401";"120.752";"0,377"
"";"SP";"FLORA RICA";"154";"1.822";"0,006"
